metric,value
Number of recurrence points,143958.0
The total number of lines in the recurrent plot (NRLINE),60327.0
The average length of line structures (L),3.7368839822964843
Shannon entropy: Shannon information entropy of line lengths longer than the minimum length (ENTR),3.5326552391052246
Entropy measure normalized by the number of lines observed in the plot (rENTR),5.855844379971198e-05
Recurrence rate (RR),0.26006980575789107
Total number of diagonal lines having a minimum length,31753.0
Total number of recurrence points that form diagonal lines having a minimum length,106548.0
Determinism (DET),0.7401325386571084
Average diagonal line length (L),3.3555254621610557
Longest diagonal line length (L_max),744.0
Entropy of diagonal lines (L_entr),1.5915074348449707
Entropy of diagonal lines normalized by the number of diagonal lines observed in the plot (L_rentr),5.012148253220076e-05
Divergence (DIV),0.0013440860215053765
Average vertical line length (V),4.160670539651432
Total number of vertical lines having a minimum length,28574.0
Total number of recurrence points that form vertical lines having a minimum length,118887.0
Laminarity (LAM),0.8258450381361231
Trapping time (TT),4.160670539651432
Longest vertical line length (V_max),19.0
Entropy of vertical lines (V_entr),1.9411476850509644
Entropy of vertical lines normalized by the number of vertical lines observed in the plot (V_rentr),6.793405491184169e-05
Total number of white vertical lines having a minimum length,39076.0
Total number of white points that form white vertical lines having a minimum length,39076.0
Average white vertical line length (W),10.10630566076364
Longest white vertical line length (W_max),563.0
Entropy of white vertical lines (W_entr),2.9617373943328857
Entropy of white vertical lines normalized by the number of white vertical lines observed in the plot (W_rentr),7.579428279078937e-05
Longest white vertical line length inverse (W_div),0.0017761989342806395
Ratio determinism / recurrence rate (DET/RR),2.8458995326282746
Ratio laminarity / determinism (LAM/DET),1.1158069602432705
