metric,value
Number of recurrence points,482290496.0
The total number of lines in the recurrent plot (NRLINE),108112131.0
The average length of line structures (L),8.428415188671103
Shannon entropy: Shannon information entropy of line lengths longer than the minimum length (ENTR),5.738717020038452
Entropy measure normalized by the number of lines observed in the plot (rENTR),5.308115719260452e-08
Recurrence rate (RR),0.2584289780521262
Total number of diagonal lines having a minimum length,64482935.0
Total number of recurrence points that form diagonal lines having a minimum length,450135406.0
Determinism (DET),0.9333283482326801
Average diagonal line length (L),6.980690193459711
Longest diagonal line length (L_max),43200.0
Entropy of diagonal lines (L_entr),2.6631153746556264
Entropy of diagonal lines normalized by the number of diagonal lines observed in the plot (L_rentr),4.129953722881296e-08
Divergence (DIV),2.3148148148148147e-05
Average vertical line length (V),10.568118674476604
Total number of vertical lines having a minimum length,43629196.0
Total number of recurrence points that form vertical lines having a minimum length,461078521.0
Laminarity (LAM),0.9560182749278144
Trapping time (TT),10.568118834919625
Longest vertical line length (V_max),306.0
Entropy of vertical lines (V_entr),3.075601645382825
Entropy of vertical lines normalized by the number of vertical lines observed in the plot (V_rentr),7.049411695285023e-08
Total number of white vertical lines having a minimum length,43625396.0
Total number of white points that form white vertical lines having a minimum length,43625396.0
Average white vertical line length (W),31.236446220453793
Longest white vertical line length (W_max),19366.0
Entropy of white vertical lines (W_entr),3.8100479657591744
Entropy of white vertical lines normalized by the number of white vertical lines observed in the plot (W_rentr),8.733555027808055e-08
Longest white vertical line length inverse (W_div),5.163688939378292e-05
Ratio determinism / recurrence rate (DET/RR),3.611546798147473
Ratio laminarity / determinism (LAM/DET),1.024310765592944
