metric,value
Number of recurrence points,192943970.0
The total number of lines in the recurrent plot (NRLINE),55715819.0
The average length of line structures (L),6.430315383141007
Shannon entropy: Shannon information entropy of line lengths longer than the minimum length (ENTR),5.1122733903904924
Entropy measure normalized by the number of lines observed in the plot (rENTR),9.175622798240644e-08
Recurrence rate (RR),0.11868344907407408
Total number of diagonal lines having a minimum length,32664437.0
Total number of recurrence points that form diagonal lines having a minimum length,175749990.0
Determinism (DET),0.9108861189079918
Average diagonal line length (L),5.3804687954670705
Longest diagonal line length (L_max),40320.0
Entropy of diagonal lines (L_entr),2.3306189992745057
Entropy of diagonal lines normalized by the number of diagonal lines observed in the plot (L_rentr),7.135034959501998e-08
Divergence (DIV),2.48015873015873e-05
Average vertical line length (V),7.9179763712214735
Total number of vertical lines having a minimum length,23051382.0
Total number of recurrence points that form vertical lines having a minimum length,182520298.0
Laminarity (LAM),0.9459756840288919
Trapping time (TT),7.917976631509555
Longest vertical line length (V_max),184.0
Entropy of vertical lines (V_entr),2.781654391115987
Entropy of vertical lines normalized by the number of vertical lines observed in the plot (V_rentr),1.206719142095683e-07
Total number of white vertical lines having a minimum length,24674706.0
Total number of white points that form white vertical lines having a minimum length,24674706.0
Average white vertical line length (W),57.70810902468301
Longest white vertical line length (W_max),38215.0
Entropy of white vertical lines (W_entr),4.2077577774487605
Entropy of white vertical lines normalized by the number of white vertical lines observed in the plot (W_rentr),1.7052919607020892e-07
Longest white vertical line length inverse (W_div),2.6167735182519953e-05
Ratio determinism / recurrence rate (DET/RR),7.674921195957821
Ratio laminarity / determinism (LAM/DET),1.038522450164206
